juris_name_1,juris_id,county,juris_name_2,jurisdiction_id
alameda,alam,ala,alameda,562
albany,alba,ala,albany,674
berkeley,berk,ala,berkeley,6000
dublin,dubl,ala,dublin,20018
emeryville,emer,ala,emeryville,22594
fremont,frem,ala,fremont,26000
hayward,hayw,ala,hayward,33000
livermore,livr,ala,livermore,41992
newark,newk,ala,newark,50916
oakland,okld,ala,oakland,53000
piedmont,pied,ala,piedmont,56938
pleasanton,plea,ala,pleasanton,57792
san_leandro,slea,ala,san_leandro,68084
unincorporated_alameda,uala,ala,alameda_county,1
union_city,unic,ala,union_city,81204
antioch,anti,cnc,antioch,2252
brentwood,bren,cnc,brentwood,8142
clayton,clay,cnc,clayton,13882
concord,conc,cnc,concord,16000
danville,danv,cnc,danville,17988
el_cerrito,elce,cnc,el_cerrito,21796
hercules,herc,cnc,hercules,33308
lafayette,lafa,cnc,lafayette,39122
martinez,mart,cnc,martinez,46114
moraga,mora,cnc,moraga,49187
oakley,okly,cnc,oakley,53070
orinda,orin,cnc,orinda,54232
pinole,pino,cnc,pinole,57288
pittsburg,pitt,cnc,pittsburg,57456
pleasant_hill,plhl,cnc,pleasant_hill,57764
richmond,rich,cnc,richmond,60620
san_pablo,spab,cnc,san_pablo,68294
san_ramon,sram,cnc,san_ramon,68378
unincorporated_contra_costa,ucnc,cnc,contra_costa_county,13
walnut_creek,walc,cnc,walnut_creek,83346
belvedere,belv,mar,belvedere,5164
corte_madera,cmad,mar,corte_madera,16462
fairfax,frfx,mar,fairfax,23168
larkspur,lark,mar,larkspur,40438
mill_valley,milv,mar,mill_valley,47710
novato,nova,mar,novato,52582
ross,ross,mar,ross,62980
san_anselmo,sans,mar,san_anselmo,64434
san_rafael,sraf,mar,san_rafael,68364
sausalito,saus,mar,sausalito,70364
tiburon,tibu,mar,tiburon,78666
unincorporated_marin,umar,mar,marin_county,41
american_canyon,amer,nap,american_canyon,1640
calistoga,cali,nap,calistoga,9892
napa,napa,nap,napa,50258
st_helena,shel,nap,st_helena,64140
unincorporated_napa,unap,nap,napa_county,55
yountville,youn,nap,yountville,86930
san_francisco,sfra,sfr,san_francisco,67000
atherton,athe,smt,atherton,3092
belmont,belm,smt,belmont,5108
brisbane,bris,smt,brisbane,8310
burlingame,burl,smt,burlingame,9066
colma,colm,smt,colma,14736
daly_city,dalc,smt,daly_city,17918
east_palo_alto,epal,smt,east_palo_alto,20956
foster_city,fosc,smt,foster_city,25338
half_moon_bay,half,smt,half_moon_bay,31708
hillsborough,hill,smt,hillsborough,33798
menlo_park,menp,smt,menlo_park,46870
millbrae,milb,smt,millbrae,47486
pacifica,paci,smt,pacifica,54806
portola_valley,porv,smt,portola_valley,58380
redwood_city,redc,smt,redwood_city,60102
san_bruno,sbru,smt,san_bruno,65028
san_carlos,scar,smt,san_carlos,65070
san_mateo,smat,smt,san_mateo,68252
south_san_francisco,ssfr,smt,south_san_francisco,73262
unincorporated_san_mateo,usmt,smt,san_mateo_county,81
woodside,wood,smt,woodside,86440
campbell,camp,scl,campbell,10345
cupertino,cupe,scl,cupertino,17610
gilroy,gilr,scl,gilroy,29504
los_altos,lalt,scl,los_altos,43280
los_altos_hills,lahl,scl,los_altos_hills,43294
los_gatos,lgat,scl,los_gatos,44112
milpitas,milp,scl,milpitas,47766
monte_sereno,mser,scl,monte_sereno,48956
morgan_hill,mrgh,scl,morgan_hill,49278
mountain_view,mtvw,scl,mountain_view,49670
palo_alto,pala,scl,palo_alto,55282
san_jose,sjos,scl,san_jose,68000
santa_clara,scla,scl,santa_clara,69084
saratoga,sara,scl,saratoga,70280
sunnyvale,sunn,scl,sunnyvale,77000
unincorporated_santa_clara,uscl,scl,santa_clara_county,85
benicia,beni,sol,benicia,5290
dixon,dixn,sol,dixon,19402
fairfield,frfd,sol,fairfield,23182
rio_vista,riov,sol,rio_vista,60984
suisun_city,suic,sol,suisun_city,75630
unincorporated_solano,usol,sol,solano_county,95
vacaville,vaca,sol,vacaville,81554
vallejo,vall,sol,vallejo,81666
cloverdale,clov,son,cloverdale,14190
cotati,cota,son,cotati,16560
healdsburg,heal,son,healdsburg,33056
petaluma,peta,son,petaluma,56784
rohnert_park,rohp,son,rohnert_park,62546
santa_rosa,sros,son,santa_rosa,70098
sebastopol,seba,son,sebastopol,70770
sonoma,sono,son,sonoma,72646
unincorporated_sonoma,uson,son,sonoma_county,97
windsor,wind,son,windsor,85922
